canonical,required,candidates
eid,TRUE,eid;id;f.eid
baseline_date,TRUE,date_attend;assessment_date
age,TRUE,age
sex,TRUE,sex.b;sex
ethnicity,TRUE,ethnic.c;ethnicity
tdi,TRUE,tdi;townsend_deprivation_index
assessment_center,TRUE,center;assessment_center
smoking,TRUE,smoking;smoking_status
alcohol,TRUE,alcohol;alcohol_status
bmi,TRUE,bmi
sbp,TRUE,sbp
blood_collection_season,TRUE,blood_collection_season;season_blood_collection
protein_plate,TRUE,prot.plate;protein_plate;p30901_i0
protein_sampling_lag_days,TRUE,protein_measurement_lag_days;protein_sampling_lag_days
fasting_time,TRUE,fasting_time;fasting_duration;p74_i0
total_cholesterol,TRUE,bb_TC;total_cholesterol;tc
hdl,TRUE,bb_HDL;hdl;hdl_cholesterol
diabetes,TRUE,diabetes;type2_diabetes
death_date,FALSE,date_death;death_date
