outcome_id,outcome_label,local_date_candidates,death_icd10_prefixes,source_policy,min_derivation_events,min_test_events,min_total_events
abdominal_aneurysm,Abdominal aneurysm,fod_icd10_cvd_abaneu;fod_icd9_cvd_abaneu,I713;I714,s24_hospital_death_only,20,10,50
atrial_fibrillation,Atrial fibrillation,fod_ref_cvd_afib;fod_icd10_cvd_afib;fod_icd9_cvd_afib,I48,s24_first_occurrence_hospital_death,20,10,50
aortic_valve_stenosis,Aortic valve stenosis,fod_ref_cvd_aosten;fod_icd10_cvd_aosten,I350;I352,s24_first_occurrence_hospital_death,20,10,50
cad,Coronary artery disease,fod_ref_cvd_cad;fod_icd10_cvd_cad,I21;I22;I23;I24;I251;I252;I255;I256;I258;I259,s24_first_occurrence_hospital_death,20,10,50
cardiomyopathy,Cardiomyopathy,fod_ref_cvd_cmyo;fod_icd10_cvd_cmyo,I42,s24_first_occurrence_hospital_death,20,10,50
deep_vein_thrombosis,Deep vein thrombosis,fod_icd10_cvd_dvt;fod_icd9_cvd_dvt,I802,s24_hospital_death_only,20,10,50
heart_failure,Heart failure,fod_ref_cvd_hfail;fod_icd10_cvd_hfail;fod_icd9_cvd_hfail,I110;I130;I132;I50,s24_first_occurrence_hospital_death,20,10,50
intracerebral_hemorrhage,Intracerebral hemorrhage,fod_ref_cvd_stroke_ih;fod_icd10_cvd_stroke_ih;fod_icd9_cvd_stroke_ih,I61,s24_first_occurrence_hospital_death,20,10,50
ischemic_stroke,Ischemic stroke,fod_ref_cvd_stroke_i;fod_icd10_cvd_stroke_i;fod_icd9_cvd_stroke_i,I63;I64,s24_first_occurrence_hospital_death,20,10,50
peripheral_arterial_disease,Peripheral arterial disease,fod_ref_cvd_pad;fod_icd10_cvd_pad;fod_icd9_cvd_pad,I738;I739,s24_first_occurrence_hospital_death,20,10,50
pulmonary_embolism,Pulmonary embolism,fod_ref_cvd_pe;fod_icd10_cvd_pe;fod_icd9_cvd_pe,I26,s24_first_occurrence_hospital_death,20,10,50
subarachnoid_hemorrhage,Subarachnoid hemorrhage,fod_ref_cvd_stroke_sh;fod_icd10_cvd_stroke_sh;fod_icd9_cvd_stroke_sh,I60,s24_first_occurrence_hospital_death,20,10,50
thoracic_aneurysm,Thoracic aneurysm,fod_icd10_cvd_thaneu;fod_icd9_cvd_thaneu,I711;I712,s24_hospital_death_only,20,10,50
transient_ischemic_attack,Transient ischemic attack,fod_ref_cvd_tia;fod_icd10_cvd_tia;fod_icd9_cvd_tia,G45,s24_first_occurrence_hospital_death,20,10,50
