protein,rank,published_importance,uniprot,panel,protein_definition,local_feature
GDF15,1,0.0957527104795299,Q99988,Cardiometabolic,Growth/differentiation factor 15,gdf15
CXCL17,2,0.0226553996321342,Q6UXB2,Inflammation,C-X-C motif chemokine 17,cxcl17
MMP12,3,0.0220749696670551,P39900,Oncology,Macrophage metalloelastase,mmp12
NTPROBNP,4,0.0187429765862963,NTproBNP,Cardiometabolic,N-terminal prohormone of brain natriuretic peptide,ntprobnp
HAVCR1,5,0.0155017370353874,Q96D42,Oncology,Hepatitis A virus cellular receptor 1,havcr1
ADGRG2,6,0.0135082684340473,Q8IZP9,Cardiometabolic,Adhesion G-protein coupled receptor G2,adgrg2
PGF,7,0.0124062901457969,P49763,Inflammation,Placenta growth factor,pgf
REN,8,0.011236015961152,P00797,Cardiometabolic,Renin,ren
PRSS8,9,0.0106227048482431,Q16651,Inflammation,Prostasin,prss8
CDCP1,10,0.0103454574773927,Q9H5V8,Neurology,CUB domain-containing protein 1,cdcp1
ENPP2,11,0.0096520683738328,Q13822,Cardiometabolic,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,enpp2
EDA2R,12,0.0095724523591335,Q9HAV5,Oncology,Tumor necrosis factor receptor superfamily member 27,eda2r
MMP3,13,0.0091966267298213,P08254,Neurology,Stromelysin-1,mmp3
ACE2,14,0.008788237429126,Q9BYF1,Cardiometabolic,Angiotensin-converting enzyme 2,ace2
CDH3,15,0.0081525499529242,P22223,Neurology,Cadherin-3,cdh3
B4GAT1,16,0.008145716460631,O43505,Neurology,"Beta-1,4-glucuronyltransferase 1",b4gat1
CALCA,17,0.0081441427281092,P01258,Neurology,Calcitonin,calca
LPA,18,0.0079326790942087,P08519,Inflammation II,Apolipoprotein(a),lpa
ANGPTL1,19,0.0070532924271341,O95841,Cardiometabolic,Angiopoietin-related protein 1,angptl1
PLAT,20,0.0064868831169467,P00750,Cardiometabolic,Tissue-type plasminogen activator,plat
CD300LG,21,0.0061257550199388,Q6UXG3,Neurology,CMRF35-like molecule 9,cd300lg
RAB6A,22,0.0058848227814956,P20340,Inflammation,Ras-related protein Rab-6A,rab6a
CPM,23,0.0058635089969987,P14384,Neurology,Carboxypeptidase M,cpm
PLTP,24,0.00585471547282,P55058,Cardiometabolic,Phospholipid transfer protein,pltp
UMOD,25,0.0057924694586082,P07911,Cardiometabolic,Uromodulin,umod
NPPB,26,0.0057412033053541,P16860,Cardiometabolic,Natriuretic peptides B,nppb
PON3,27,0.0057360949062967,Q15166,Inflammation,Serum paraoxonase/lactonase 3,pon3
CHAD,28,0.0055625771231674,O15335,Inflammation II,Chondroadherin,chad
CRIP2,29,0.0055135229813869,P52943,Neurology,Cysteine-rich protein 2,crip2
TNFRSF10B,30,0.0053345646287732,O14763,Neurology,Tumor necrosis factor receptor superfamily member 10B,tnfrsf10b
CTHRC1,31,0.0053203501344218,Q96CG8,Cardiometabolic II,Collagen triple helix repeat-containing protein 1,cthrc1
IGFBP3,32,0.0052800291147635,P17936,Cardiometabolic,Insulin-like growth factor-binding protein 3,igfbp3
CNTN5,33,0.0051979092431395,O94779,Neurology,Contactin-5,cntn5
LRRN1,34,0.005152156138594,Q6UXK5,Inflammation,Leucine-rich repeat neuronal protein 1,lrrn1
CDH2,35,0.0051479589158879,P19022,Cardiometabolic,Cadherin-2,cdh2
ITGA11,36,0.0051084283211013,Q9UKX5,Inflammation,Integrin alpha-11,itga11
GGT1,37,0.0047924783923031,P19440,Neurology,Glutathione hydrolase 1 proenzyme,ggt1
CNTN3,38,0.0047070990723666,Q9P232,Neurology,Contactin-3,cntn3
CEACAM5,39,0.0046897200115693,P06731,Oncology,Carcinoembryonic antigen-related cell adhesion molecule 5,ceacam5
CTSV,40,0.0046790195698319,O60911,Oncology,Cathepsin L2,ctsv
WFDC2,41,0.0046367971487812,Q14508,Oncology,WAP four-disulfide core domain protein 2,wfdc2
SLITRK1,42,0.0045641311335206,Q96PX8,Inflammation II,SLIT and NTRK-like protein 1,slitrk1
NPL,43,0.0045133333779696,Q9BXD5,Cardiometabolic II,N-acetylneuraminate lyase,npl
PTGDS,44,0.0045103553506149,P41222,Cardiometabolic,Prostaglandin-H2 D-isomerase,ptgds
ELN,45,0.0045085512940583,P15502,Cardiometabolic II,Elastin,eln
NELL2,46,0.0043969398913246,Q99435,Inflammation,Protein kinase C-binding protein NELL2,nell2
BRK1,47,0.0043695619276017,Q8WUW1,Neurology,Protein BRICK1,brk1
SPINK6,48,0.0043188001140526,Q6UWN8,Oncology,Serine protease inhibitor Kazal-type 6,spink6
CHCHD10,49,0.0042081040697131,Q8WYQ3,Neurology II,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",chchd10
ADGRG1,50,0.0041499209229821,Q9Y653,Oncology,Adhesion G-protein coupled receptor G1,adgrg1
SLAMF8,51,0.0040660258275504,Q9P0V8,Oncology,SLAM family member 8,slamf8
LRTM2,52,0.0040645046770595,Q8N967,Neurology II,Leucine-rich repeat and transmembrane domain-containing protein 2,lrtm2
GAS6,53,0.0040564701245099,Q14393,Cardiometabolic,Growth arrest-specific protein 6,gas6
CCL11,54,0.0040543782484148,P51671,Inflammation,Eotaxin,ccl11
C1QA,55,0.0040255714734996,P02745,Inflammation,Complement C1q subcomponent subunit A,c1qa
IGDCC4,56,0.0038867046976701,Q8TDY8,Cardiometabolic II,Immunoglobulin superfamily DCC subclass member 4,igdcc4
BCAN,57,0.0038256439099799,Q96GW7,Neurology,Brevican core protein,bcan
RCOR1,58,0.0038161627509715,Q9UKL0,Cardiometabolic,REST corepressor 1,rcor1
TNNI3,59,0.0038110390419927,P19429,Cardiometabolic,"Troponin I, cardiac muscle",tnni3
FURIN,60,0.0037707385253809,P09958,Oncology,Furin,furin
CLEC4D,61,0.0037406462619306,Q8WXI8,Inflammation,C-type lectin domain family 4 member D,clec4d
PRL,62,0.00372566412487,P01236,Neurology,Prolactin,prl
VSTM1,63,0.0037084946857657,Q6UX27,Neurology,V-set and transmembrane domain-containing protein 1,vstm1
VCAN,64,0.0036816645697934,P13611,Neurology,Versican core protein,vcan
